# Formato: x1 x2 ... xn w
6.517887 -89.635293 -32.679144 -73.117065 -87.325006 3.682470
97.992046 -35.529231 61.974889 -49.071869 36.300544 1.948284
52.045572 19.127748 -5.684762 -17.631817 -30.226347 8.036415
85.905829 66.123882 93.005382 -75.140555 46.173495 6.797343
87.668091 -63.753387 -86.700747 48.224130 14.894623 1.433674
68.365755 -72.045525 59.053462 -59.674536 -67.268811 4.240454
-67.146840 62.914944 33.039444 4.613085 -28.233903 9.611198
75.440108 -21.510979 63.319888 -12.173018 -24.611114 5.503610
-7.464043 -39.724425 49.521876 0.544078 -53.557461 4.894562
79.914915 -23.221756 8.710572 81.294422 24.847599 5.119296
-76.620392 87.966425 25.541611 -33.018877 -72.145585 2.879945
58.805038 24.014551 6.692218 78.778517 57.719442 4.318365
-69.665024 -37.655586 -50.302172 48.789259 -93.293513 4.328319
13.977937 52.491737 75.353127 -31.583650 64.251461 1.471195
-77.873653 69.290458 -74.502268 -20.542542 59.459073 7.908109
-70.016515 -54.149721 44.450514 44.007307 28.229527 4.748540
38.789689 8.544889 -49.640188 -30.860801 -63.680457 8.399619
81.690112 16.678359 -19.829717 -7.598839 89.456668 8.653132
-69.329719 17.245966 1.177736 22.290847 -96.377963 2.907946
74.424782 86.423656 13.026637 39.330165 84.499876 6.916181
41.447727 -69.492191 15.257672 21.343009 -15.173866 5.250536
47.288847 86.873403 85.113703 -9.832126 -77.352391 8.921411
96.968240 67.779617 -75.067464 84.168377 73.979272 2.941666
3.767611 18.255087 -20.199459 -89.047672 -32.960552 7.100319
60.570690 -99.073595 -33.300166 -20.366261 7.479121 6.469769
83.971123 -30.730801 -30.609360 47.500250 -9.556412 3.657713
-55.079035 -9.512097 -71.828596 -64.722603 -0.326445 2.229408
-16.214910 82.969180 -27.521220 16.117670 26.452858 6.864758
-97.381109 32.707474 -64.392807 92.214063 -70.267454 7.647377
-17.075175 -82.930066 99.374850 0.439002 19.077003 3.840646
-86.584705 49.992094 -58.018881 79.610858 -58.972072 6.803493
-61.862456 -92.690066 -5.586611 12.968227 -86.858272 4.556178
55.105523 -9.342233 4.878054 -11.847451 -19.847388 7.418862
11.928066 -68.951951 -63.614374 72.357124 89.223092 2.792937
-25.338137 -45.851065 28.799909 -18.253166 -94.922729 9.011935
-68.769481 43.194446 31.784788 -94.580801 -55.605568 3.586686
-53.785041 34.378549 -96.057892 -79.178284 59.983217 4.310074
-64.291068 30.549222 -52.363444 -80.111721 -51.365562 1.522828
44.453386 71.139294 66.043973 -20.563294 33.617027 2.003610
-59.003141 -41.370454 79.267164 -97.399615 -82.898294 5.642757
-58.422749 -94.693559 -63.712913 16.608312 -15.715090 3.408334
78.534342 63.488712 -31.636530 -48.115313 -24.061518 8.519322
18.058989 -46.387272 24.829782 -18.117670 10.409436 1.132240
-12.774694 -41.106848 89.690661 52.721159 -71.977365 4.411846
73.693595 -2.513760 78.910445 59.971051 -14.957299 4.036110
-95.506138 -46.264528 8.326843 26.695644 -48.422463 1.173949
-72.128785 66.986047 96.880436 5.138036 -65.664143 2.119316
-45.538535 -96.321865 82.859761 -76.449783 15.303295 4.722784
-45.188956 10.835601 30.284078 65.948361 -58.715746 5.435781
-97.800834 -72.622874 80.003728 74.778016 19.482620 4.638608
20.103372 33.007335 -64.925744 82.882389 -16.245895 5.778439
-23.372294 3.783541 -90.606807 -66.743326 47.606723 6.356185
-83.440266 20.630422 -50.930178 -22.140877 -42.261253 1.089314
-28.865457 43.809181 -40.575657 13.280928 -4.789920 5.176856
32.734233 87.365948 46.514419 -57.011924 -93.763373 9.671493
-47.547191 19.015586 -89.714837 -0.726751 19.368570 5.671291
-33.151222 54.182441 -78.680349 -84.972444 45.637751 7.097880
-0.901737 37.680479 -13.034532 -50.719593 63.820464 3.806775
59.883176 38.939294 -45.570973 18.046133 -27.805221 7.965922
-81.683585 83.462715 -72.636274 90.047471 -10.798845 7.956293
-62.973414 8.380189 74.589167 46.444977 61.312230 5.691664
31.756673 38.455313 69.839130 -50.066398 -2.115007 9.784124
-55.758112 97.533602 88.811868 -92.114638 41.115035 2.129952
85.049663 -63.884931 13.589046 83.097660 -93.210804 1.152529
39.484053 -40.530199 84.879239 94.211649 88.853298 7.931424
-5.157157 72.408530 68.909880 -36.179905 65.783095 8.264400
-92.598473 19.253976 -53.998233 -75.886623 -84.609360 2.081865
39.257755 -32.025007 44.953354 -86.928732 -36.941932 3.390245
7.898258 58.144633 -36.249499 25.178275 77.195550 1.157971
23.172638 -53.408105 -95.119844 74.019775 -95.746118 3.639777
74.940335 5.787427 87.813540 59.756647 99.586822 7.958277
-29.857637 53.437658 -19.613817 -4.024876 25.501093 5.661645
74.735423 96.816694 53.654683 -16.446644 -15.728600 4.132860
47.516460 -52.244571 -77.905177 -29.075568 -42.552202 4.345654
-40.738376 -53.278450 -91.581362 -96.425213 97.544478 1.012183
-14.445373 -23.134671 35.929457 -56.349222 89.992237 3.698205
57.269003 -82.117800 -16.483845 75.823662 88.946404 6.818129
-6.519698 22.682278 -66.593211 98.233725 -53.665660 9.767750
88.546355 29.929330 21.547359 2.537702 -53.866038 8.623547
-64.694394 -55.902758 -62.712348 55.916895 -29.974948 1.212355
-88.431465 93.820526 76.757177 85.550457 98.981565 9.087045
-65.220950 -20.751596 51.647695 39.204124 -69.220819 8.048786
63.166625 -55.111886 -55.236477 7.394885 18.587987 8.023385
16.017242 -81.702633 75.492173 -46.879991 -74.097016 5.121962
77.749616 91.130300 72.425523 61.903215 31.048396 4.582048
10.171474 -82.602648 -18.309357 -25.462297 -48.049243 3.726242
44.684023 -0.824853 -83.790757 -55.963360 36.651753 1.591254
-84.773828 70.241383 -0.970695 -3.882685 18.481557 3.054118
64.936193 -30.438158 35.603231 13.146393 -46.594346 3.219433
75.725997 59.485204 31.690367 70.116346 73.458840 5.356694
41.672595 67.402666 39.494292 36.028154 23.722276 7.727000
50.543328 -68.278979 76.174152 74.368706 -94.150543 5.264288
65.163350 -74.226027 -32.976229 48.701651 -67.848021 1.520600
63.593405 66.426836 1.493547 -98.722826 -42.592373 9.620108
23.385384 96.237236 26.362705 -48.039284 26.801141 9.484519
7.997076 55.969079 -78.603872 52.205581 8.253316 8.066706
92.598401 -31.625567 26.524379 86.405621 -79.498054 9.921951
87.445697 37.577144 -86.432588 -39.807287 41.634418 5.900341
-86.529880 16.434092 -30.823389 24.183104 -90.851593 9.664915
74.307361 94.697794 93.775571 49.930366 -73.982752 1.680445
51.652639 -95.082617 -95.575290 -35.277956 -2.271362 4.291127
54.081484 36.659075 -10.819459 -45.274667 99.424900 3.028431
-14.763740 -9.722595 -67.275236 58.961910 38.736445 2.762498
-55.846077 -83.523791 36.099860 30.902243 -45.348095 2.267227
90.172712 -69.788422 -13.533040 88.723184 -16.054537 6.601723
27.705190 -20.481120 -45.156960 96.795530 -18.133199 8.031897
78.819841 -54.009079 -57.379059 -93.773183 30.333365 6.204686
-26.294731 72.871650 -5.358019 93.638686 -62.894897 2.322664
73.724634 55.319371 54.184369 68.956646 52.204798 8.300114
25.244064 -73.751024 -93.494764 84.169570 23.330063 6.723592
59.307458 -3.695530 -76.538362 -74.962842 37.113057 4.493491
-13.938821 -59.895055 -1.681091 -87.158213 16.394280 7.067173
-46.201319 59.511820 -37.927608 -8.955970 -97.675892 3.339145
-85.510622 -21.501289 -4.012233 20.004110 -41.667484 4.106730
38.996377 72.024479 55.970198 -92.076235 -3.898611 9.257373
-79.013964 -51.590997 97.332519 -71.500891 -0.222369 3.614541
23.631147 40.492994 11.929737 -98.045831 -34.707738 5.229894
3.542329 -82.426700 -29.874614 -93.359378 -84.284301 9.011270
-20.615345 -73.456849 13.508170 37.892994 60.117340 7.369492
-59.969951 -66.503484 -79.086432 27.286050 41.295145 1.559829
-93.682771 87.242449 -89.605743 8.259267 41.812104 2.325727
74.193825 42.817386 60.345617 -32.109961 62.965023 1.070574
-83.977031 78.963331 9.518475 63.459554 -9.536343 6.678296
28.715539 5.280532 46.317904 -83.674004 -87.929583 5.029061
-50.579353 -68.091064 74.356713 -56.157203 95.173051 2.208474
-32.620842 -63.576417 57.939701 31.741555 -0.360857 9.621407
11.072710 43.840356 -54.309052 99.266783 94.958632 5.766938
30.065137 -60.091510 36.045648 -85.560318 -93.869500 3.177040
-48.463422 -7.475409 73.654501 45.433814 48.541304 5.505432
-14.901333 -30.813001 -25.792247 97.529913 -91.978162 7.116583
73.406299 15.735082 -12.276916 45.051532 -2.666212 1.686153
74.684648 80.140373 -15.655815 -44.634441 18.470066 3.472334
82.472669 -57.867562 24.593317 26.312044 46.622604 8.262689
-73.686463 43.164993 81.806504 -64.063378 -52.491335 5.136984
94.279019 -63.804609 70.877019 -1.544429 -50.553785 5.919194
74.149980 -10.938949 2.963471 -28.153326 18.590170 4.895344
-67.295225 -21.783693 93.882464 -48.373313 31.347333 1.395099
-34.961987 54.694625 -73.825268 93.964209 -9.242092 2.491748
-52.789907 -85.300651 -66.048419 3.954790 -32.599365 5.009875
65.776673 -13.822495 -50.257145 23.428997 41.355443 2.882669
-66.591618 -66.476157 -92.665715 47.280403 32.760906 1.449811
-5.073825 68.834090 61.134031 17.070873 73.654256 8.592847
-58.831758 -77.616076 -46.050078 -88.582629 6.233906 9.830733
87.321138 -92.131292 -75.578017 -9.560194 86.775004 8.138286
-36.768779 1.446962 -91.685428 -70.331360 97.326025 8.684064
93.023739 -99.012004 90.362357 27.823988 73.583659 3.177794
-9.052029 3.119206 -2.230684 33.372852 -72.069749 9.645643
-94.005282 -38.414012 40.936153 -59.629310 34.686487 2.772331
93.982409 -81.219857 34.520424 -11.249956 73.628451 9.562868
-64.570042 38.525190 67.623058 88.922844 36.649606 9.953374
-0.565047 23.569448 73.780997 14.121949 -93.922588 7.405505
86.189739 37.905350 35.302677 -56.864970 31.777094 9.830294
-21.227119 30.246595 -78.681394 31.569061 99.882745 6.125858
-90.357592 95.434837 -18.618408 74.150690 56.477097 3.335876
13.403252 47.689842 75.703112 -19.171936 -34.593368 4.932963
33.518677 61.569188 52.457027 59.562730 -12.883337 6.342048
63.566843 -75.958189 8.897820 -98.848268 -35.082834 1.657734
-26.707693 -20.765462 39.093441 -22.288380 -10.261275 6.601089
-52.491174 -25.349642 -54.546075 -85.360815 20.689719 9.830601
33.642560 23.898069 -7.301191 -24.042844 72.666730 2.710969
3.816357 -4.163624 -94.871587 -31.750434 -23.960876 8.133356
-20.235444 16.034474 6.720509 21.581019 52.976652 9.171089
62.597148 43.624615 91.104739 -96.353483 -60.844403 9.493314
-98.487425 29.494943 79.606110 -51.303541 85.406909 9.641220
-87.946522 86.887205 -29.675463 -79.715834 -2.825648 5.693137
-48.644686 -43.025420 -38.542007 60.605180 7.832255 9.795771
-37.738460 22.066757 43.230135 -45.475200 -17.290180 7.815792
-75.622781 -63.770130 36.223571 -63.712330 5.032677 2.455043
41.809252 -78.624615 13.462444 -48.687443 92.585375 5.292101
-3.290871 61.198510 10.045308 -91.317493 26.630275 7.464981
90.280668 20.322364 63.837772 76.841293 -54.384046 3.226063
-57.591032 22.196198 -17.794306 67.972261 80.004625 6.765537
-29.315724 -52.625888 56.105103 -45.038793 64.522864 6.999404
-15.252349 33.509980 -80.892937 24.771865 -9.646464 2.464298
17.321693 -66.397158 47.374749 72.559416 -56.652040 6.085768
-80.857089 -95.272283 28.394300 21.418807 9.339483 7.944642
-53.610581 -21.818801 18.895267 -0.646628 97.557104 5.490061
-72.712049 39.028911 -19.136246 -14.360077 43.519553 1.108928
38.487230 98.251199 -74.321142 -79.178070 44.867763 1.081346
15.677383 -45.167867 -84.116126 -82.868350 78.838175 4.213264
-61.626535 -35.325688 -54.668720 -29.000739 -86.115231 9.335747
3.811958 -86.477487 60.071302 -53.257584 8.002383 3.058091
76.015818 30.175474 6.591557 -35.133249 -33.399617 6.709273
33.897391 98.827872 32.367838 11.556683 46.130102 2.998683
-6.958878 -87.971531 12.459363 91.525057 -64.939412 3.895030
38.000978 -59.813262 7.165537 -80.664710 -9.925813 8.632379
51.232666 -30.485695 32.982345 59.089992 85.435564 7.559753
-53.071584 -20.136817 -69.516797 98.496700 85.400194 1.858593
7.991426 68.406659 4.191595 24.717138 -82.175114 4.858318
51.054084 -74.457303 65.213526 56.405618 41.748940 1.262528
-92.767924 -39.374329 -47.377486 -27.972719 -82.471451 5.328011
87.391565 10.760448 -38.895138 -20.603697 -10.559492 6.961906
20.118867 3.135886 83.878395 -0.607303 98.431603 2.066524
70.284992 -58.297897 86.119043 -76.726720 63.489942 3.599964
-23.875341 75.594864 73.611338 61.185080 58.006087 4.580530
-39.064172 -83.816143 -19.403964 -65.295097 38.990218 9.275779
-30.780055 95.122040 28.194415 64.496113 -73.495065 9.939295
72.402896 84.551438 -2.587616 21.250588 52.961960 1.404202
-65.032275 0.513215 -20.267394 -70.725202 -26.493116 7.849071
-86.365538 -94.837619 -72.966742 92.623022 9.905907 4.345517
93.164432 -13.500424 -37.636773 1.228373 -12.097662 4.532124
-78.867063 28.165263 -56.792363 23.917591 30.040218 7.788385
-69.595029 -87.730075 56.152317 -8.039915 -88.367241 9.265838
98.973263 -88.443888 39.007046 96.735785 -52.163979 9.558357
-71.550126 -75.723012 -39.344970 -79.790838 38.432268 6.194103
-87.541640 1.884426 99.339371 62.794054 23.043888 4.214090
-38.749276 24.779167 5.408293 -14.783323 -73.857925 8.087942
77.320843 -10.043070 -61.075498 -26.448130 -17.174049 3.259012
65.507579 46.722876 53.860979 -97.793747 -16.769200 6.076666
-3.731170 -96.161545 -48.037358 52.057965 -72.578059 4.227206
7.062026 -56.959626 -97.575845 -51.759708 95.174751 6.909680
60.307422 91.915329 -2.429191 -78.052760 9.591898 3.163590
-9.124533 68.871417 -80.383484 -2.351773 -69.990267 2.724337
-35.064815 47.471415 -4.796374 -24.822343 -21.104744 9.264152
-8.110646 57.003309 78.416938 91.066937 57.380677 1.916233
-36.918621 37.626941 -12.479375 -49.065876 68.174316 5.553621
-92.314730 80.352398 -7.704507 27.440295 31.870784 2.987675
79.023548 27.333936 22.786717 -86.669592 3.681604 1.350370
-69.966200 47.486754 2.444384 36.045556 -91.665420 1.324169
-83.041597 43.264678 -85.583133 -85.748654 -97.578305 2.576996
91.300280 47.501672 -29.349718 -40.692884 -30.059354 8.800933
54.930706 32.274122 -62.960886 -65.178133 -80.320870 3.542309
32.060544 52.874532 -46.990714 -95.811008 -83.565667 9.554133
93.572007 -40.911045 53.844630 24.932714 -23.612072 6.234601
-58.862548 -75.722716 23.002594 54.926756 28.780851 4.929528
6.060427 -91.609755 93.697756 59.742838 -41.435593 6.220800
95.994066 20.376318 16.484532 49.614636 62.353958 5.650285
31.295721 -74.380851 -32.346499 85.616728 -55.076878 7.828986
-25.566595 -13.584623 -12.119002 22.587916 88.615168 3.542465
-51.861458 -75.699725 -60.505902 77.384980 29.162163 4.177454
-42.818642 63.189388 72.273999 69.302868 83.785307 9.046849
-49.551796 51.008386 -7.892101 68.399711 45.698135 9.518109
55.289489 31.232368 -64.514246 9.005384 96.933948 9.033024
87.477613 -91.365253 -67.037037 -73.654245 45.195982 4.775032
63.557066 -57.297727 1.170539 68.140606 46.560309 8.023290
8.447441 18.069538 1.672109 -40.490310 13.004399 5.287022
37.777060 74.664583 27.258271 52.224307 -67.985673 5.477859
-7.688505 -98.133676 -50.664227 45.292343 98.361990 2.842121
-80.164380 -19.701137 60.014194 -59.192873 11.016990 6.320173
46.614259 23.197090 -62.395053 -28.923086 56.758357 2.675223
10.845303 -98.954077 52.198152 -92.937729 49.146757 3.984082
-59.503888 91.614696 -26.411850 -34.613677 -70.222390 8.695272
-38.879157 75.330152 99.266868 -26.338094 -10.277874 2.863682
44.414188 77.239156 18.608867 -21.694860 -17.475632 1.640425
39.123629 -99.356347 23.917867 -28.901398 58.839466 1.621068
-81.401872 17.640453 -3.805422 28.465105 -87.029281 9.467061
15.996757 12.296918 12.132019 20.697533 35.293587 5.562284
60.997800 -46.035856 65.009882 -0.348864 -84.588344 4.684709
-88.289814 -33.152336 56.979395 41.536187 57.722993 8.297907
3.453811 -11.960200 -70.509495 -34.361449 -13.196127 8.522433
-82.279914 -55.877609 19.645059 47.132623 99.669502 3.989719
86.622666 28.513040 -15.750389 27.235473 57.130324 7.242563
-76.332762 -18.019022 67.960457 -23.233410 14.374454 7.940105
17.553872 -63.104749 -27.552912 -33.097742 -94.760658 6.891856
-95.161647 66.339409 -45.385838 3.615753 -40.254885 2.364356
88.135849 -48.140648 -14.068637 74.546050 68.386713 8.882948
-62.779716 60.528662 -8.362623 -3.406226 -73.304006 5.851851
-83.879697 45.587861 -0.707770 -12.629859 45.901646 3.542252
53.102580 -68.218366 22.045030 -72.929184 50.275017 4.827054
31.391031 91.322924 -86.208397 -88.589056 -43.562585 1.338140
-47.658863 -50.604240 81.250916 -50.090760 -45.610055 2.150801
51.879652 -10.052032 55.342111 -86.926768 -2.485761 7.889921
-93.277280 -87.469359 81.287491 -72.150926 6.484136 1.000105
-17.780879 -30.531335 79.966669 -95.635321 32.757937 4.749092
92.678887 12.033637 87.364492 -89.548424 -16.241336 5.702592
-47.968442 46.164193 96.259418 -48.693988 30.834920 1.491710
-60.380473 13.066051 -7.213503 94.401066 21.705455 9.757703
-30.098726 -77.180843 -69.750634 -54.936614 -49.806668 3.035128
70.123212 12.244558 4.678182 -77.046226 72.027939 3.737788
44.562861 -86.466328 41.567019 8.707643 -83.654931 3.735483
-8.339872 -3.060743 -66.845092 89.139629 69.995074 3.073750
33.804467 -7.540888 -17.646892 30.194693 9.086374 1.013264
-87.545379 2.500530 61.280723 -8.152024 -89.608684 7.564103
57.255640 -59.727244 -48.275833 -67.058729 -33.956987 9.701609
51.350301 3.877172 -59.023745 75.566016 75.916371 3.018641
74.115685 -52.240758 -9.752131 96.997931 54.402495 6.967425
-94.566516 -86.959082 -7.213725 81.844041 7.740360 7.677067
-0.437498 -78.905260 31.356021 64.420632 -23.915998 8.635828
55.122370 92.895331 -59.246708 4.665926 -42.572408 4.803663
58.570884 15.518673 26.916484 59.582832 -20.805905 3.726378
83.018014 6.605773 -68.409035 39.179824 58.652270 3.927656
-36.647665 71.435851 81.228651 -44.619103 96.704295 7.413592
-71.857694 -59.596866 -63.155032 78.797942 30.858510 8.351015
-69.579143 -11.935316 23.059605 -83.307183 76.483274 2.634526
60.720707 1.041355 93.425323 -16.447804 96.822064 4.338469
33.584000 26.934255 -66.809021 76.385552 -14.502062 9.117462
-67.553319 -97.478496 11.951137 5.479924 43.870724 8.260242
78.051611 -84.118683 46.299298 -62.517611 71.635411 9.863726
63.812703 8.158751 42.048560 -37.129977 -5.766420 7.788234
64.327380 -8.146961 -28.440347 -1.157511 65.649850 4.538757
